Loading checkpoint shards:   0%|                                                                                                                                                | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|████████████████████████████████████████████████████████████████████                                                                    | 1/2 [00:01<00:01,  1.47s/it]Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:02<00:00,  1.32s/it]Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 2/2 [00:02<00:00,  1.34s/it]
The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
{"written": 31, "sample_id": "mm-safetybench:04-Physical_Harm:7:SD", "latency_ms": 15500.8, "peak_vram_gib": 8.547}
{"written": 32, "sample_id": "mm-safetybench:04-Physical_Harm:7:SD_TYPO", "latency_ms": 23644.1, "peak_vram_gib": 8.595}
{"written": 33, "sample_id": "mm-safetybench:04-Physical_Harm:7:TYPO", "latency_ms": 26544.5, "peak_vram_gib": 8.505}
{"written": 34, "sample_id": "mm-safetybench:04-Physical_Harm:8:SD", "latency_ms": 18390.9, "peak_vram_gib": 8.561}
{"written": 35, "sample_id": "mm-safetybench:04-Physical_Harm:8:TYPO", "latency_ms": 24349.7, "peak_vram_gib": 8.487}
{"written": 36, "sample_id": "mm-safetybench:04-Physical_Harm:14:SD", "latency_ms": 13615.2, "peak_vram_gib": 8.547}
{"written": 37, "sample_id": "mm-safetybench:04-Physical_Harm:14:SD_TYPO", "latency_ms": 13017.5, "peak_vram_gib": 8.533}
{"written": 38, "sample_id": "mm-safetybench:04-Physical_Harm:16:SD", "latency_ms": 15480.7, "peak_vram_gib": 8.547}
{"written": 39, "sample_id": "mm-safetybench:04-Physical_Harm:25:SD", "latency_ms": 14917.8, "peak_vram_gib": 8.547}
{"written": 40, "sample_id": "mm-safetybench:04-Physical_Harm:25:SD_TYPO", "latency_ms": 20510.4, "peak_vram_gib": 8.582}
{"written": 41, "sample_id": "mm-safetybench:04-Physical_Harm:25:TYPO", "latency_ms": 20613.2, "peak_vram_gib": 8.466}
{"written": 42, "sample_id": "mm-safetybench:04-Physical_Harm:37:SD", "latency_ms": 22392.8, "peak_vram_gib": 8.587}
{"written": 43, "sample_id": "mm-safetybench:04-Physical_Harm:37:SD_TYPO", "latency_ms": 20463.4, "peak_vram_gib": 8.581}
{"written": 44, "sample_id": "mm-safetybench:04-Physical_Harm:37:TYPO", "latency_ms": 21322.6, "peak_vram_gib": 8.462}
{"written": 45, "sample_id": "mm-safetybench:04-Physical_Harm:44:SD", "latency_ms": 19090.7, "peak_vram_gib": 8.57}
{"written": 46, "sample_id": "mm-safetybench:04-Physical_Harm:100:SD", "latency_ms": 13899.5, "peak_vram_gib": 8.547}
{"written": 47, "sample_id": "mm-safetybench:04-Physical_Harm:100:SD_TYPO", "latency_ms": 17097.0, "peak_vram_gib": 8.551}
{"written": 48, "sample_id": "mm-safetybench:04-Physical_Harm:100:TYPO", "latency_ms": 13566.1, "peak_vram_gib": 8.42}
{"written": 49, "sample_id": "mm-safetybench:04-Physical_Harm:124:SD", "latency_ms": 17707.8, "peak_vram_gib": 8.557}
{"written": 50, "sample_id": "mm-safetybench:04-Physical_Harm:124:SD_TYPO", "latency_ms": 28966.0, "peak_vram_gib": 8.631}
{"written": 51, "sample_id": "mm-safetybench:05-EconomicHarm:21:SD", "latency_ms": 18595.0, "peak_vram_gib": 8.561}
{"written": 52, "sample_id": "mm-safetybench:05-EconomicHarm:21:SD_TYPO", "latency_ms": 10762.8, "peak_vram_gib": 8.542}
{"written": 53, "sample_id": "mm-safetybench:05-EconomicHarm:28:SD", "latency_ms": 29020.8, "peak_vram_gib": 8.634}
{"written": 54, "sample_id": "mm-safetybench:05-EconomicHarm:28:SD_TYPO", "latency_ms": 29880.8, "peak_vram_gib": 8.648}
{"written": 55, "sample_id": "mm-safetybench:05-EconomicHarm:28:TYPO", "latency_ms": 22183.5, "peak_vram_gib": 8.472}
{"written": 56, "sample_id": "mm-safetybench:05-EconomicHarm:39:SD", "latency_ms": 20671.9, "peak_vram_gib": 8.582}
{"written": 57, "sample_id": "mm-safetybench:05-EconomicHarm:39:SD_TYPO", "latency_ms": 15433.8, "peak_vram_gib": 8.547}
{"written": 58, "sample_id": "mm-safetybench:05-EconomicHarm:39:TYPO", "latency_ms": 15872.6, "peak_vram_gib": 8.431}
{"written": 59, "sample_id": "mm-safetybench:05-EconomicHarm:44:SD", "latency_ms": 18528.7, "peak_vram_gib": 8.563}
{"written": 60, "sample_id": "mm-safetybench:05-EconomicHarm:59:SD_TYPO", "latency_ms": 15467.7, "peak_vram_gib": 8.54}
{"written": 61, "sample_id": "mm-safetybench:05-EconomicHarm:68:SD_TYPO", "latency_ms": 41625.8, "peak_vram_gib": 8.715}
{"written": 62, "sample_id": "mm-safetybench:05-EconomicHarm:68:TYPO", "latency_ms": 41529.6, "peak_vram_gib": 8.598}
{"written": 63, "sample_id": "mm-safetybench:05-EconomicHarm:92:SD", "latency_ms": 14112.3, "peak_vram_gib": 8.549}
{"written": 64, "sample_id": "mm-safetybench:05-EconomicHarm:92:SD_TYPO", "latency_ms": 28863.3, "peak_vram_gib": 8.63}
{"written": 65, "sample_id": "mm-safetybench:05-EconomicHarm:92:TYPO", "latency_ms": 28651.0, "peak_vram_gib": 8.516}
{"written": 66, "sample_id": "mm-safetybench:05-EconomicHarm:99:SD", "latency_ms": 23291.5, "peak_vram_gib": 8.595}
{"written": 67, "sample_id": "mm-safetybench:05-EconomicHarm:99:SD_TYPO", "latency_ms": 27145.5, "peak_vram_gib": 8.615}
{"written": 68, "sample_id": "mm-safetybench:05-EconomicHarm:99:TYPO", "latency_ms": 22706.0, "peak_vram_gib": 8.47}
{"written": 69, "sample_id": "mm-safetybench:05-EconomicHarm:107:SD", "latency_ms": 21573.4, "peak_vram_gib": 8.584}
{"written": 70, "sample_id": "mm-safetybench:05-EconomicHarm:107:SD_TYPO", "latency_ms": 17679.1, "peak_vram_gib": 8.555}
{"written": 71, "sample_id": "mm-safetybench:05-EconomicHarm:107:TYPO", "latency_ms": 19930.3, "peak_vram_gib": 8.458}
{"written": 72, "sample_id": "mm-safetybench:05-EconomicHarm:110:TYPO", "latency_ms": 21633.0, "peak_vram_gib": 8.47}
{"written": 73, "sample_id": "mm-safetybench:05-EconomicHarm:112:SD", "latency_ms": 41418.5, "peak_vram_gib": 8.72}
{"written": 74, "sample_id": "mm-safetybench:05-EconomicHarm:112:SD_TYPO", "latency_ms": 25768.1, "peak_vram_gib": 8.603}
{"written": 75, "sample_id": "mm-safetybench:05-EconomicHarm:112:TYPO", "latency_ms": 19398.8, "peak_vram_gib": 8.445}
{"written": 76, "sample_id": "mm-safetybench:06-Fraud:68:SD", "latency_ms": 11259.8, "peak_vram_gib": 8.547}
{"written": 77, "sample_id": "mm-safetybench:06-Fraud:68:SD_TYPO", "latency_ms": 12377.6, "peak_vram_gib": 8.547}
{"written": 78, "sample_id": "mm-safetybench:06-Fraud:68:TYPO", "latency_ms": 10942.9, "peak_vram_gib": 8.399}
{"written": 79, "sample_id": "mm-safetybench:06-Fraud:73:SD", "latency_ms": 17395.7, "peak_vram_gib": 8.555}
{"written": 80, "sample_id": "mm-safetybench:06-Fraud:85:SD_TYPO", "latency_ms": 18101.8, "peak_vram_gib": 8.556}
{"written": 81, "sample_id": "mm-safetybench:06-Fraud:85:TYPO", "latency_ms": 17187.8, "peak_vram_gib": 8.441}
{"written": 82, "sample_id": "mm-safetybench:06-Fraud:104:SD", "latency_ms": 11211.6, "peak_vram_gib": 8.547}
{"written": 83, "sample_id": "mm-safetybench:06-Fraud:104:SD_TYPO", "latency_ms": 24040.8, "peak_vram_gib": 8.598}
{"written": 84, "sample_id": "mm-safetybench:06-Fraud:104:TYPO", "latency_ms": 16303.3, "peak_vram_gib": 8.44}
{"written": 85, "sample_id": "mm-safetybench:06-Fraud:130:SD", "latency_ms": 14955.8, "peak_vram_gib": 8.547}
{"written": 86, "sample_id": "mm-safetybench:06-Fraud:153:SD", "latency_ms": 14308.0, "peak_vram_gib": 8.547}
{"written": 87, "sample_id": "mm-safetybench:07-Sex:9:TYPO", "latency_ms": 19797.8, "peak_vram_gib": 8.458}
{"written": 88, "sample_id": "mm-safetybench:07-Sex:18:SD", "latency_ms": 18836.0, "peak_vram_gib": 8.569}
{"written": 89, "sample_id": "mm-safetybench:07-Sex:28:SD_TYPO", "latency_ms": 10964.3, "peak_vram_gib": 8.541}
{"written": 90, "sample_id": "mm-safetybench:07-Sex:28:TYPO", "latency_ms": 27421.5, "peak_vram_gib": 8.503}
{"written": 91, "sample_id": "mm-safetybench:07-Sex:35:SD_TYPO", "latency_ms": 16436.2, "peak_vram_gib": 8.542}
{"written": 92, "sample_id": "mm-safetybench:07-Sex:43:SD", "latency_ms": 16096.9, "peak_vram_gib": 8.548}
{"written": 93, "sample_id": "mm-safetybench:07-Sex:43:TYPO", "latency_ms": 11788.1, "peak_vram_gib": 8.396}
{"written": 94, "sample_id": "mm-safetybench:07-Sex:46:SD", "latency_ms": 16679.0, "peak_vram_gib": 8.551}
{"written": 95, "sample_id": "mm-safetybench:07-Sex:46:SD_TYPO", "latency_ms": 23541.4, "peak_vram_gib": 8.593}
{"written": 96, "sample_id": "mm-safetybench:07-Sex:46:TYPO", "latency_ms": 14603.0, "peak_vram_gib": 8.423}
{"written": 97, "sample_id": "mm-safetybench:07-Sex:55:SD", "latency_ms": 18300.9, "peak_vram_gib": 8.561}
{"written": 98, "sample_id": "mm-safetybench:07-Sex:55:SD_TYPO", "latency_ms": 37532.3, "peak_vram_gib": 8.686}
{"written": 99, "sample_id": "mm-safetybench:07-Sex:55:TYPO", "latency_ms": 38646.4, "peak_vram_gib": 8.578}
{"written": 100, "sample_id": "mm-safetybench:07-Sex:62:SD", "latency_ms": 12470.4, "peak_vram_gib": 8.547}
{"written": 101, "sample_id": "mm-safetybench:07-Sex:62:TYPO", "latency_ms": 14389.1, "peak_vram_gib": 8.412}
{"written": 102, "sample_id": "mm-safetybench:07-Sex:65:SD", "latency_ms": 14079.9, "peak_vram_gib": 8.547}
{"written": 103, "sample_id": "mm-safetybench:07-Sex:80:SD", "latency_ms": 17856.1, "peak_vram_gib": 8.558}
{"written": 104, "sample_id": "mm-safetybench:07-Sex:80:SD_TYPO", "latency_ms": 18945.8, "peak_vram_gib": 8.56}
{"written": 105, "sample_id": "mm-safetybench:07-Sex:80:TYPO", "latency_ms": 21433.3, "peak_vram_gib": 8.463}
{"written": 106, "sample_id": "mm-safetybench:08-Political_Lobbying:5:SD_TYPO", "latency_ms": 19284.5, "peak_vram_gib": 8.57}
{"written": 107, "sample_id": "mm-safetybench:08-Political_Lobbying:5:TYPO", "latency_ms": 16229.2, "peak_vram_gib": 8.437}
{"written": 108, "sample_id": "mm-safetybench:08-Political_Lobbying:6:SD", "latency_ms": 24504.4, "peak_vram_gib": 8.603}
{"written": 109, "sample_id": "mm-safetybench:08-Political_Lobbying:6:SD_TYPO", "latency_ms": 19328.4, "peak_vram_gib": 8.569}
{"written": 110, "sample_id": "mm-safetybench:08-Political_Lobbying:6:TYPO", "latency_ms": 21294.0, "peak_vram_gib": 8.467}
{"written": 111, "sample_id": "mm-safetybench:08-Political_Lobbying:17:SD", "latency_ms": 21589.7, "peak_vram_gib": 8.584}
{"written": 112, "sample_id": "mm-safetybench:08-Political_Lobbying:17:SD_TYPO", "latency_ms": 18536.3, "peak_vram_gib": 8.56}
{"written": 113, "sample_id": "mm-safetybench:08-Political_Lobbying:17:TYPO", "latency_ms": 19904.2, "peak_vram_gib": 8.459}
{"written": 114, "sample_id": "mm-safetybench:08-Political_Lobbying:26:SD", "latency_ms": 12503.2, "peak_vram_gib": 8.547}
{"written": 115, "sample_id": "mm-safetybench:08-Political_Lobbying:26:SD_TYPO", "latency_ms": 18719.6, "peak_vram_gib": 8.556}
{"written": 116, "sample_id": "mm-safetybench:08-Political_Lobbying:26:TYPO", "latency_ms": 20876.8, "peak_vram_gib": 8.457}
{"written": 117, "sample_id": "mm-safetybench:08-Political_Lobbying:37:SD", "latency_ms": 16345.8, "peak_vram_gib": 8.547}
{"written": 118, "sample_id": "mm-safetybench:08-Political_Lobbying:37:SD_TYPO", "latency_ms": 15045.8, "peak_vram_gib": 8.545}
{"written": 119, "sample_id": "mm-safetybench:08-Political_Lobbying:37:TYPO", "latency_ms": 22119.9, "peak_vram_gib": 8.474}
{"written": 120, "sample_id": "mm-safetybench:08-Political_Lobbying:41:SD", "latency_ms": 24452.4, "peak_vram_gib": 8.603}
{"written": 121, "sample_id": "mm-safetybench:08-Political_Lobbying:41:SD_TYPO", "latency_ms": 27506.5, "peak_vram_gib": 8.621}
{"written": 122, "sample_id": "mm-safetybench:08-Political_Lobbying:41:TYPO", "latency_ms": 24107.4, "peak_vram_gib": 8.482}
{"written": 123, "sample_id": "mm-safetybench:08-Political_Lobbying:42:SD", "latency_ms": 24138.8, "peak_vram_gib": 8.6}
{"written": 124, "sample_id": "mm-safetybench:08-Political_Lobbying:42:SD_TYPO", "latency_ms": 24614.8, "peak_vram_gib": 8.601}
{"written": 125, "sample_id": "mm-safetybench:08-Political_Lobbying:42:TYPO", "latency_ms": 21662.5, "peak_vram_gib": 8.467}
{"written": 126, "sample_id": "mm-safetybench:08-Political_Lobbying:59:SD", "latency_ms": 32171.9, "peak_vram_gib": 8.662}
{"written": 127, "sample_id": "mm-safetybench:08-Political_Lobbying:59:SD_TYPO", "latency_ms": 23337.6, "peak_vram_gib": 8.593}
{"written": 128, "sample_id": "mm-safetybench:08-Political_Lobbying:59:TYPO", "latency_ms": 22357.2, "peak_vram_gib": 8.482}
{"written": 129, "sample_id": "mm-safetybench:08-Political_Lobbying:73:SD", "latency_ms": 10793.4, "peak_vram_gib": 8.547}
{"written": 130, "sample_id": "mm-safetybench:08-Political_Lobbying:73:SD_TYPO", "latency_ms": 13321.7, "peak_vram_gib": 8.54}
{"written": 131, "sample_id": "mm-safetybench:08-Political_Lobbying:73:TYPO", "latency_ms": 12597.9, "peak_vram_gib": 8.403}
{"written": 132, "sample_id": "mm-safetybench:08-Political_Lobbying:90:SD", "latency_ms": 19002.0, "peak_vram_gib": 8.569}
{"written": 133, "sample_id": "mm-safetybench:08-Political_Lobbying:90:SD_TYPO", "latency_ms": 17125.6, "peak_vram_gib": 8.548}
{"written": 134, "sample_id": "mm-safetybench:08-Political_Lobbying:90:TYPO", "latency_ms": 16040.7, "peak_vram_gib": 8.437}
{"written": 135, "sample_id": "mm-safetybench:08-Political_Lobbying:92:SD", "latency_ms": 17373.0, "peak_vram_gib": 8.554}
{"written": 136, "sample_id": "mm-safetybench:08-Political_Lobbying:92:SD_TYPO", "latency_ms": 14581.1, "peak_vram_gib": 8.545}
{"written": 137, "sample_id": "mm-safetybench:08-Political_Lobbying:92:TYPO", "latency_ms": 15928.2, "peak_vram_gib": 8.433}
{"written": 138, "sample_id": "mm-safetybench:08-Political_Lobbying:113:SD", "latency_ms": 24974.7, "peak_vram_gib": 8.604}
{"written": 139, "sample_id": "mm-safetybench:08-Political_Lobbying:113:SD_TYPO", "latency_ms": 20588.4, "peak_vram_gib": 8.581}
{"written": 140, "sample_id": "mm-safetybench:08-Political_Lobbying:113:TYPO", "latency_ms": 17150.2, "peak_vram_gib": 8.436}
{"written": 141, "sample_id": "mm-safetybench:08-Political_Lobbying:116:SD", "latency_ms": 38011.8, "peak_vram_gib": 8.697}
{"written": 142, "sample_id": "mm-safetybench:08-Political_Lobbying:116:SD_TYPO", "latency_ms": 35188.8, "peak_vram_gib": 8.672}
{"written": 143, "sample_id": "mm-safetybench:08-Political_Lobbying:116:TYPO", "latency_ms": 30640.6, "peak_vram_gib": 8.524}
{"written": 144, "sample_id": "mm-safetybench:08-Political_Lobbying:120:SD", "latency_ms": 17687.3, "peak_vram_gib": 8.557}
{"written": 145, "sample_id": "mm-safetybench:08-Political_Lobbying:120:SD_TYPO", "latency_ms": 19930.3, "peak_vram_gib": 8.57}
{"written": 146, "sample_id": "mm-safetybench:08-Political_Lobbying:120:TYPO", "latency_ms": 19428.2, "peak_vram_gib": 8.446}
{"written": 147, "sample_id": "mm-safetybench:08-Political_Lobbying:137:SD_TYPO", "latency_ms": 13399.7, "peak_vram_gib": 8.541}
{"written": 148, "sample_id": "mm-safetybench:08-Political_Lobbying:137:TYPO", "latency_ms": 13339.7, "peak_vram_gib": 8.409}
{"written": 149, "sample_id": "mm-safetybench:09-Privacy_Violence:10:SD", "latency_ms": 22675.1, "peak_vram_gib": 8.59}
{"written": 150, "sample_id": "mm-safetybench:09-Privacy_Violence:10:SD_TYPO", "latency_ms": 14524.9, "peak_vram_gib": 8.545}
{"written": 151, "sample_id": "mm-safetybench:09-Privacy_Violence:25:SD", "latency_ms": 30167.0, "peak_vram_gib": 8.648}
{"written": 152, "sample_id": "mm-safetybench:09-Privacy_Violence:31:SD", "latency_ms": 26994.3, "peak_vram_gib": 8.621}
{"written": 153, "sample_id": "mm-safetybench:09-Privacy_Violence:31:SD_TYPO", "latency_ms": 36101.4, "peak_vram_gib": 8.681}
{"written": 154, "sample_id": "mm-safetybench:09-Privacy_Violence:31:TYPO", "latency_ms": 32879.1, "peak_vram_gib": 8.545}
{"written": 155, "sample_id": "mm-safetybench:09-Privacy_Violence:71:SD_TYPO", "latency_ms": 16487.7, "peak_vram_gib": 8.542}
{"written": 156, "sample_id": "mm-safetybench:09-Privacy_Violence:71:TYPO", "latency_ms": 17128.8, "peak_vram_gib": 8.436}
{"written": 157, "sample_id": "mm-safetybench:09-Privacy_Violence:72:SD_TYPO", "latency_ms": 21065.9, "peak_vram_gib": 8.582}
{"written": 158, "sample_id": "mm-safetybench:09-Privacy_Violence:72:TYPO", "latency_ms": 22759.8, "peak_vram_gib": 8.49}
{"written": 159, "sample_id": "mm-safetybench:09-Privacy_Violence:83:SD", "latency_ms": 10856.3, "peak_vram_gib": 8.547}
{"written": 160, "sample_id": "mm-safetybench:09-Privacy_Violence:96:SD", "latency_ms": 18404.2, "peak_vram_gib": 8.562}
{"written": 161, "sample_id": "mm-safetybench:09-Privacy_Violence:96:SD_TYPO", "latency_ms": 15729.8, "peak_vram_gib": 8.542}
{"written": 162, "sample_id": "mm-safetybench:09-Privacy_Violence:96:TYPO", "latency_ms": 18995.6, "peak_vram_gib": 8.445}
{"written": 163, "sample_id": "mm-safetybench:09-Privacy_Violence:109:SD", "latency_ms": 14446.5, "peak_vram_gib": 8.547}
{"written": 164, "sample_id": "mm-safetybench:09-Privacy_Violence:109:SD_TYPO", "latency_ms": 21162.6, "peak_vram_gib": 8.581}
{"written": 165, "sample_id": "mm-safetybench:09-Privacy_Violence:109:TYPO", "latency_ms": 15525.5, "peak_vram_gib": 8.423}
{"written": 166, "sample_id": "mm-safetybench:09-Privacy_Violence:131:TYPO", "latency_ms": 17170.3, "peak_vram_gib": 8.441}
{"written": 167, "sample_id": "mm-safetybench:10-Legal_Opinion:32:SD_TYPO", "latency_ms": 10760.9, "peak_vram_gib": 8.545}
{"written": 168, "sample_id": "mm-safetybench:10-Legal_Opinion:32:TYPO", "latency_ms": 12542.1, "peak_vram_gib": 8.409}
{"written": 169, "sample_id": "mm-safetybench:10-Legal_Opinion:35:SD", "latency_ms": 41917.4, "peak_vram_gib": 8.72}
{"written": 170, "sample_id": "mm-safetybench:10-Legal_Opinion:35:SD_TYPO", "latency_ms": 17265.4, "peak_vram_gib": 8.549}
{"written": 171, "sample_id": "mm-safetybench:10-Legal_Opinion:35:TYPO", "latency_ms": 14795.7, "peak_vram_gib": 8.423}
{"written": 172, "sample_id": "mm-safetybench:10-Legal_Opinion:61:SD_TYPO", "latency_ms": 16285.5, "peak_vram_gib": 8.541}
{"written": 173, "sample_id": "mm-safetybench:10-Legal_Opinion:61:TYPO", "latency_ms": 20155.1, "peak_vram_gib": 8.455}
{"written": 174, "sample_id": "mm-safetybench:10-Legal_Opinion:79:SD", "latency_ms": 13890.8, "peak_vram_gib": 8.547}
{"written": 175, "sample_id": "mm-safetybench:10-Legal_Opinion:79:SD_TYPO", "latency_ms": 18604.3, "peak_vram_gib": 8.56}
{"written": 176, "sample_id": "mm-safetybench:10-Legal_Opinion:79:TYPO", "latency_ms": 18713.5, "peak_vram_gib": 8.45}
{"written": 177, "sample_id": "mm-safetybench:10-Legal_Opinion:88:SD_TYPO", "latency_ms": 13883.6, "peak_vram_gib": 8.535}
{"written": 178, "sample_id": "mm-safetybench:10-Legal_Opinion:88:TYPO", "latency_ms": 14532.5, "peak_vram_gib": 8.424}
{"written": 179, "sample_id": "mm-safetybench:10-Legal_Opinion:90:SD_TYPO", "latency_ms": 17148.9, "peak_vram_gib": 8.547}
{"written": 180, "sample_id": "mm-safetybench:10-Legal_Opinion:90:TYPO", "latency_ms": 22754.2, "peak_vram_gib": 8.493}
{"written": 181, "sample_id": "mm-safetybench:10-Legal_Opinion:91:SD_TYPO", "latency_ms": 13042.7, "peak_vram_gib": 8.545}
{"written": 182, "sample_id": "mm-safetybench:10-Legal_Opinion:101:SD", "latency_ms": 18542.1, "peak_vram_gib": 8.563}
{"written": 183, "sample_id": "mm-safetybench:10-Legal_Opinion:101:SD_TYPO", "latency_ms": 29967.5, "peak_vram_gib": 8.647}
{"written": 184, "sample_id": "mm-safetybench:10-Legal_Opinion:101:TYPO", "latency_ms": 27445.1, "peak_vram_gib": 8.501}
{"written": 185, "sample_id": "mm-safetybench:10-Legal_Opinion:102:SD", "latency_ms": 13956.6, "peak_vram_gib": 8.547}
{"written": 186, "sample_id": "mm-safetybench:10-Legal_Opinion:102:SD_TYPO", "latency_ms": 15934.0, "peak_vram_gib": 8.542}
{"written": 187, "sample_id": "mm-safetybench:10-Legal_Opinion:102:TYPO", "latency_ms": 18017.1, "peak_vram_gib": 8.461}
{"written": 188, "sample_id": "mm-safetybench:10-Legal_Opinion:114:SD_TYPO", "latency_ms": 15414.0, "peak_vram_gib": 8.545}
{"written": 189, "sample_id": "mm-safetybench:10-Legal_Opinion:114:TYPO", "latency_ms": 16164.6, "peak_vram_gib": 8.43}
{"written": 190, "sample_id": "mm-safetybench:11-Financial_Advice:13:SD", "latency_ms": 13609.0, "peak_vram_gib": 8.547}
{"written": 191, "sample_id": "mm-safetybench:11-Financial_Advice:13:SD_TYPO", "latency_ms": 19082.7, "peak_vram_gib": 8.561}
{"written": 192, "sample_id": "mm-safetybench:11-Financial_Advice:13:TYPO", "latency_ms": 22684.3, "peak_vram_gib": 8.469}
{"written": 193, "sample_id": "mm-safetybench:11-Financial_Advice:23:SD_TYPO", "latency_ms": 16964.1, "peak_vram_gib": 8.551}
{"written": 194, "sample_id": "mm-safetybench:11-Financial_Advice:23:TYPO", "latency_ms": 18899.7, "peak_vram_gib": 8.486}
{"written": 195, "sample_id": "mm-safetybench:11-Financial_Advice:25:SD_TYPO", "latency_ms": 10979.9, "peak_vram_gib": 8.548}
